Id,Name,Short description,Gender,Country,Occupation,Birth year,Death year,Manner of death,Age of death
1,Albert Einstein,Theoretical physicist who developed the theory of relativity,Male,Germany,Physicist,1879,1955,Natural causes,76
2,Marie Curie,Pioneering researcher on radioactivity,Female,Poland,Physicist,1867,1934,Aplastic anemia,66
3,Leonardo da Vinci,Italian polymath and artist,Male,Italy,Artist,1452,1519,Natural causes,67
4,Cleopatra VII,Last active ruler of the Ptolemaic Kingdom,Female,Egypt,Queen,69 BCE,30 BCE,Suicide,39
5,William Shakespeare,English playwright and poet,Male,England,Playwright,1564,1616,Natural causes,52
6,Joan of Arc,French heroine and saint,Female,France,Military leader,1412,1431,Execution,19
7,Isaac Newton,English mathematician and physicist,Male,England,Mathematician,1643,1727,Natural causes,84
8,Queen Victoria,British monarch who reigned for 63 years,Female,England,Queen,1819,1901,Natural causes,81
9,Napoleon Bonaparte,French military and political leader,Male,France,Emperor,1769,1821,Stomach cancer,51
10,Florence Nightingale,Founder of modern nursing,Female,England,Nurse,1820,1910,Natural causes,90 
